Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-11-01,1120.8610966123383,1127.4213204219423,1082.4369285846578,1087.122802734375,2169451,0.0,0
2007-11-02,1073.0651898565063,1078.688238886322,1054.321693090454,1061.819091796875,2000688,0.0,0
2007-11-05,1056.19580078125,1070.253420135038,1049.6355784161492,1056.19580078125,1455369,0.0,0
2007-11-06,1070.2537535257486,1077.751152849922,1043.0756809756201,1048.69873046875,2482583,0.0,0
2007-11-07,1059.0074772537846,1059.0074772537846,1022.4576616671496,1023.3948364257812,1990451,0.0,0
2007-11-08,1016.8350498192359,1058.0707569086796,1005.5889478857513,1006.526123046875,3500706,0.0,0
2007-11-09,1013.0859402329176,1045.8870576317631,992.468095010786,1004.6513671875,2850492,0.0,0
2007-11-12,999.9654091401213,1025.2691261474158,999.9654091401213,1017.771728515625,1845958,0.0,0
2007-11-13,1014.9602791135492,1054.3216195777866,1002.7770070650947,1038.3896484375,2043072,0.0,0
2007-11-14,1045.887043108259,1055.2587908063617,1031.829421561105,1049.6357421875,2232991,0.0,0
2007-11-15,1045.8871178216784,1054.3216913524982,1010.2744740248828,1013.0859985351562,2554921,0.0,0
2007-11-16,1012.1487496115946,1018.7089729887067,980.2848074941925,989.6565551757812,2934963,0.0,0
2007-11-19,994.3423574919748,1002.7769297986928,946.5464477539062,946.5464477539062,3994156,0.0,0
2007-11-20,955.9183566369743,1013.0860230633031,951.2324823397341,1002.777099609375,5246966,0.0,0
2007-11-21,983.0963352831844,999.9654811698358,965.2900146250524,978.4104614257812,2780706,0.0,0
2007-11-22,987.7820977727207,1023.3947350738244,965.2899057930762,1021.5203857421875,2318335,0.0,0
2007-11-23,1016.8346312699045,1037.4524763279119,1007.4628835162648,1029.955078125,1732434,0.0,0
2007-11-26,1040.2639093636099,1044.9497828292117,972.7873314589433,980.2847290039062,2621513,0.0,0
2007-11-27,973.7245659696363,991.5308862327961,965.2899932134027,983.0963134765625,2413535,0.0,0
2007-11-28,996.216898454156,1051.5102164304449,982.1592752398452,1044.0128173828125,2968627,0.0,0
2007-11-29,1049.635702006932,1055.2587504105404,1017.77176105315,1047.7613525390625,2135211,0.0,0
2007-11-30,1048.6986026009029,1075.8766718372085,1037.4525049858798,1065.5677490234375,1985181,0.0,0
2007-12-03,1064.63053762244,1074.0022853127784,1051.5100908559662,1052.447265625,1919507,0.0,0
2007-12-04,1052.4471497141985,1070.2534683647505,1013.0858137498208,1021.5203857421875,2182274,0.0,0
2007-12-05,1029.0178126537894,1071.190673828125,1027.1434632682633,1071.190673828125,2780239,0.0,0
2007-12-06,1074.939578735137,1088.9972018223448,1057.1332561580075,1066.5050048828125,2865926,0.0,0
2007-12-07,1070.2533759046944,1091.808391356365,1070.2533759046944,1082.4366455078125,2546699,0.0,0
2007-12-10,1079.6253235547886,1093.6829449552415,1067.442051674396,1086.185546875,1574673,0.0,0
2007-12-11,1093.682824185545,1094.6199988420879,1063.6932351761727,1074.9393310546875,1585816,0.0,0
2007-12-12,1059.9446992572985,1084.311244067811,1049.635776452851,1068.3792724609375,2025447,0.0,0
2007-12-13,1052.4474436301941,1059.9448430505338,1020.5834960937501,1020.58349609375,2492243,0.0,0
2007-12-14,1032.7670275583391,1037.4529033639578,987.7826198244006,1006.526123046875,1810279,0.0,0
2007-12-17,988.7193280388326,989.6565027573529,952.169514016544,955.918212890625,4399451,0.0,0
2007-12-18,947.483802144029,979.3477480123743,947.483802144029,954.981201171875,2511987,0.0,0
2007-12-19,955.9183537960052,978.4105503559113,950.2953046560287,959.6670532226562,2443812,0.0,0
2007-12-20,959.6669447092469,1008.4000317452633,959.6669447092469,983.0963134765625,2859503,0.0,0
2007-12-21,992.4681739098079,1013.0860207710125,978.4105510498955,1008.400146484375,3279232,0.0,0
2007-12-27,1018.7089032195988,1025.2691261474158,1001.8397585480691,1017.771728515625,818599,0.0,0
2007-12-28,1008.4000806939591,1029.0179262100066,1008.4000806939591,1022.4577026367188,664532,0.0,0
2008-01-02,1001.8397188644128,1043.0754042058854,1001.8397188644128,1015.8973388671875,1848748,0.0,0
2008-01-03,1015.8973791076772,1023.3947767394682,991.5308368043566,1017.771728515625,1734541,0.0,0
2008-01-04,1014.9603532287416,1022.4577519598864,946.5465898070443,947.4837646484375,3532899,0.0,0
2008-01-07,946.5465315706477,956.8554541917142,931.0831476390481,939.0491333007812,3842002,0.0,0
2008-01-08,934.3631200553798,943.7348664952532,920.3055003955697,925.4599609375,3931353,0.0,0
2008-01-09,917.0254605786832,923.5856835976417,877.195535106436,881.8814086914062,6534973,0.0,0
2008-01-10,890.7845706857837,909.0594777119518,870.6353142210343,873.4468383789062,4557517,0.0,0
2008-01-11,878.6012588008758,896.876164983934,857.5148285896548,871.5724487304688,3655623,0.0,0
2008-01-14,872.5097270927045,940.9234865747318,860.7950422498916,927.8030395507812,5257858,0.0,0
2008-01-15,923.585747044409,935.7690192022753,880.4757071011895,883.2872314453125,3669388,0.0,0
2008-01-16,874.384022686298,936.2375548377403,874.384022686298,913.745361328125,5776686,0.0,0
2008-01-17,914.6825368119855,954.0438754862718,901.5620905872235,910.933837890625,6026678,0.0,0
2008-01-18,909.9965372114038,964.3526640479243,899.6876166044775,941.8604736328125,5593111,0.0,0
2008-01-21,922.1800208116545,937.1748178980228,890.3160770031217,900.625,3209350,0.0,0
2008-01-22,876.2584105512589,999.9654802761424,863.137963762256,981.2219848632812,5859341,0.0,0
2008-01-23,974.6618652343751,990.5938380314755,924.054422231821,974.661865234375,4692372,0.0,0
2008-01-24,993.4053388988699,1007.462961619137,974.6618419385139,982.1592407226562,6557566,0.0,0
2008-01-25,1000.9027469158173,1000.9027469158173,940.9235560894012,959.6670532226562,3682131,0.0,0
2008-01-28,952.1696543693542,966.2272772192955,941.860730946064,959.6670532226562,2377143,0.0,0
2008-01-29,969.9758048679518,993.4051721352936,958.7297085796276,991.5308227539062,2112902,0.0,0
2008-01-30,984.0334544462315,984.0334544462315,948.4208151424632,955.918212890625,2221464,0.0,0
2008-01-31,958.7299205184095,1005.5886654117824,955.9183958248071,1001.8399658203125,3837157,0.0,0
2008-02-01,1012.1489032798099,1023.3950022051412,992.4682301604803,1016.8347778320312,3265014,0.0,0
2008-02-04,1024.3318501261922,1024.3318501261922,999.96531023298,1010.2742309570312,2914023,0.0,0
2008-02-05,993.4051616506133,1010.2743059050576,938.1118554832678,945.6092529296875,4032497,0.0,0
2008-02-06,935.3005287237794,960.6042504427594,927.3345422566931,954.981201171875,2836011,0.0,0
2008-02-07,947.4835877213741,950.2951117205473,914.213887064491,916.5568237304688,4232142,0.0,0
2008-02-08,931.5516955853702,939.0490935377676,918.4312491686749,935.7689819335938,2617470,0.0,0
2008-02-11,924.0544872498245,932.4890616770541,910.4654506726212,917.4942626953125,1595378,0.0,0
2008-02-12,931.5517332288954,944.6721801757812,912.8082375904871,944.6721801757812,2365503,0.0,0
2008-02-13,939.0489940313455,939.0489940313455,918.4311518470245,921.24267578125,3089688,0.0,0
2008-02-14,924.0542002152424,932.4887720224809,913.7452791175064,918.43115234375,1970534,0.0,0
2008-02-15,917.9626969495571,924.522920409125,885.6301670416859,887.5045166015625,2842483,0.0,0
2008-02-18,891.2531285379064,912.339559023819,891.2531285379064,911.8709716796875,1403440,0.0,0
2008-02-19,905.310829366257,932.0203103568764,897.8134311934516,912.8082275390625,1977094,0.0,0
2008-02-20,903.9052514005298,911.4026511011044,884.6931646678073,907.1853637695312,3608496,0.0,0
2008-02-21,918.4311730632509,927.8029197271616,910.9337757321223,916.5568237304688,2444608,0.0,0
2008-02-22,910.9339633834696,919.3685371185016,899.6878650700934,902.4993896484375,2409632,0.0,0
2008-02-25,916.0883754467674,933.8946968109501,906.2480399560349,925.9287109375,1903721,0.0,0
2008-02-26,934.363156760058,946.54642761049,922.6484732500271,945.6092529296875,1498947,0.0,0
2008-02-27,933.8946281545855,954.0438850590748,929.677341825739,951.2323608398438,2143285,0.0,0
2008-02-28,949.3579566297192,951.23230600115,923.1170654296875,923.1170654296875,2151206,0.0,0
2008-02-29,916.0882804328194,924.0542654800613,894.5332620696942,902.9678344726562,2573313,0.0,0
2008-03-03,890.3161027203283,918.4313480693913,879.5385920031874,886.0988159179688,2220646,0.0,0
2008-03-04,894.0647206958758,908.1223420904652,873.9154633636313,883.7557983398438,2229873,0.0,0
2008-03-05,918.4312993021844,970.9130878337378,918.4312993021844,965.2900390625,5595073,0.0,0
2008-03-06,966.227159889959,966.227159889959,929.67734491837,939.9862670898438,2029130,0.0,0
2008-03-07,924.0543427212547,937.1747897781488,910.4653082694715,920.7742309570312,2300850,0.0,0
2008-03-10,909.9967032242604,928.7401986562741,906.716591523658,912.8082275390625,2126811,0.0,0
2008-03-11,912.8082262291614,937.1747702558125,912.3396388440335,917.0255126953125,2792351,0.0,0
2008-03-12,931.0831476390481,942.7978324357144,923.1171619773148,939.0491333007812,2285163,0.0,0
2008-03-13,921.2428058959449,923.1171554501585,891.721800417082,895.9390869140625,3101526,0.0,0
2008-03-14,894.5332190702785,930.6144437263348,893.5960444038874,916.5568237304688,2667245,0.0,0
2008-03-17,916.5568237304688,916.5568237304688,916.5568237304688,916.5568237304688,0,0.0,0
2008-03-18,899.6876594387755,924.5227875378667,893.5960242446588,918.43115234375,2510064,0.0,0
2008-03-19,923.1171322264611,923.1171322264611,894.0647148670497,903.4364624023438,2888895,0.0,0
2008-03-20,890.3160639591238,914.6826088674787,868.7610434632713,880.0071411132812,4273601,0.0,0
2008-03-25,906.2480041378577,920.7742130976683,895.0019068786496,912.8082275390625,2606285,0.0,0
2008-03-26,912.808169295535,914.2139313632385,900.6248980421038,901.5620727539062,1676253,0.0,0
2008-03-27,898.282077597986,919.837098761005,898.282077597986,915.6198120117188,2029690,0.0,0
2008-03-28,917.4942113746524,917.9627988166211,891.2533146244069,895.0020141601562,1378428,0.0,0
2008-03-31,884.6929839665555,914.2139892578124,882.8186344242536,914.2139892578125,2490670,0.0,0
2008-04-01,908.1224595396563,950.295329177721,907.6538720992335,949.358154296875,2541113,0.0,0
2008-04-02,955.9181311919032,970.9129254066781,947.4835594460923,957.79248046875,2187033,0.0,0
2008-04-03,962.4785066855075,962.4785066855075,920.3056412513811,927.8030395507812,1729978,0.0,0
2008-04-04,933.4261536298812,933.4261536298812,911.402544583393,917.9627685546875,1558074,0.0,0
2008-04-07,930.1458309897127,944.6720379220458,924.9913704653364,943.73486328125,1479031,0.0,0
2008-04-08,942.7979046933956,963.4157515157164,932.9575687100153,962.4785766601562,1938583,0.0,0
2008-04-09,954.0438850590748,960.6041082372807,946.5464871411253,951.2323608398438,2036369,0.0,0
